x,y
2921,0.2
2923,0.2
2925,0.2
2927,0.2
2929,0.2
2932,0.2
2934,0.2
2936,0.2
2938,0.2
2940,0.2
2943,0.2
2945,0.2
2947,0.2
2949,0.2
2951,0.2
2954,0.2
2956,0.2
2958,0.2
2960,0.2
2962,0.2
2965,0.2
2967,0.2
2969,0.2
2971,0.2
2973,0.2
2976,0.2
2978,0.2
2980,0.2
2982,0.2
2984,0.2
2987,0.2
2989,0.2
2991,0.2
2993,0.2
2995,0.2
2998,0.2
3000,0.2
3002,0.2
3004,0.2
3006,0.2
3009,0.2
3011,0.2
3013,0.2
3015,0.2
3017,0.2
3020,0.2
3022,0.2
3024,0.2
3026,0.2
3028,0.2
3031,0.2
3033,0.2
3035,0.2
3037,0.2
3039,0.2
3042,0.2
3044,0.2
3046,0.2
3048,0.2
3050,0.2
3053,0.2
3055,0.2
3057,0.2
3059,0.2
3061,0.2
3064,0.2
3066,0.2
3068,0.2
3070,0.2
3072,0.2
3075,0.2
3077,0.2
3079,0.2
3081,0.2
3083,0.2
3086,0.2
3088,0.2
3090,0.2
3092,0.2
3094,0.2
3097,0.2
3099,0.2
3101,0.2
3103,0.2
3105,0.2
3108,0.2
3110,0.2
3112,0.2
3114,0.2
3116,0.2
3119,0.2
3121,0.2
3123,0.2
3125,0.2
3127,0.2
3130,0.2
3132,0.2
3134,0.2
3136,0.2
3138,0.2
3141,0.2
3143,0.2
3145,0.2
3147,0.2
3149,0.2
3152,0.2
3154,0.2
3156,0.2
3158,0.2
3160,0.2
3163,0.2
3165,0.2
3167,0.2
3169,0.2
3171,0.2
3174,0.2
3176,0.2
3178,0.2
3180,0.2
3182,0.2
3185,0.2
3187,0.2
3189,0.2
3191,0.2
3193,0.2
3196,0.2
3198,0.2
