[3609]: {'stabilizer.yaw': -0.009827153757214546, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 253.0, 'hotpatch.context_switches': 13967.0, 'hotpatch.measure_time': 4003430.0}
[3619]: {'stabilizer.yaw': -0.010498328134417534, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 254.0, 'hotpatch.context_switches': 14060.0, 'hotpatch.measure_time': 4030234.0}
[3629]: {'stabilizer.yaw': -0.01050662249326706, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 255.0, 'hotpatch.context_switches': 14151.0, 'hotpatch.measure_time': 4056488.0}
[3639]: {'stabilizer.yaw': -0.009788409806787968, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 256.0, 'hotpatch.context_switches': 14244.0, 'hotpatch.measure_time': 4083255.0}
[3649]: {'stabilizer.yaw': -0.008891282603144646, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 257.0, 'hotpatch.context_switches': 14335.0, 'hotpatch.measure_time': 4109434.0}
[3659]: {'stabilizer.yaw': -0.00986366719007492, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 258.0, 'hotpatch.context_switches': 14428.0, 'hotpatch.measure_time': 4136164.0}
[3669]: {'stabilizer.yaw': -0.00888519175350666, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 259.0, 'hotpatch.context_switches': 14518.0, 'hotpatch.measure_time': 4162086.0}
[3679]: {'stabilizer.yaw': -0.008839006535708904, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 260.0, 'hotpatch.context_switches': 14610.0, 'hotpatch.measure_time': 4188557.0}
[3689]: {'stabilizer.yaw': -0.009037459269165993, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 261.0, 'hotpatch.context_switches': 14701.0, 'hotpatch.measure_time': 4214781.0}
[3699]: {'stabilizer.yaw': -0.01032160222530365, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 262.0, 'hotpatch.context_switches': 14793.0, 'hotpatch.measure_time': 4241336.0}
[3709]: {'stabilizer.yaw': -0.009317414835095406, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 263.0, 'hotpatch.context_switches': 14881.0, 'hotpatch.measure_time': 4266760.0}
[3719]: {'stabilizer.yaw': -0.009846937842667103, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 264.0, 'hotpatch.context_switches': 14971.0, 'hotpatch.measure_time': 4292696.0}
[3729]: {'stabilizer.yaw': -0.008956062607467175, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 265.0, 'hotpatch.context_switches': 15059.0, 'hotpatch.measure_time': 4318040.0}
[3739]: {'stabilizer.yaw': -0.009093557484447956, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 266.0, 'hotpatch.context_switches': 15149.0, 'hotpatch.measure_time': 4343901.0}
[3749]: {'stabilizer.yaw': -0.009328074753284454, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 267.0, 'hotpatch.context_switches': 15237.0, 'hotpatch.measure_time': 4369180.0}
[3759]: {'stabilizer.yaw': -0.009905875660479069, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 268.0, 'hotpatch.context_switches': 15327.0, 'hotpatch.measure_time': 4395033.0}
[3769]: {'stabilizer.yaw': -0.009392669424414635, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 269.0, 'hotpatch.context_switches': 15415.0, 'hotpatch.measure_time': 4420311.0}
[3779]: {'stabilizer.yaw': -0.010372481308877468, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 270.0, 'hotpatch.context_switches': 15505.0, 'hotpatch.measure_time': 4446170.0}
[3789]: {'stabilizer.yaw': -0.009175039827823639, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 271.0, 'hotpatch.context_switches': 15594.0, 'hotpatch.measure_time': 4471737.0}
[3799]: {'stabilizer.yaw': -0.008574351668357849, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 272.0, 'hotpatch.context_switches': 15687.0, 'hotpatch.measure_time': 4498491.0}
[3809]: {'stabilizer.yaw': -0.008214974775910378, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 273.0, 'hotpatch.context_switches': 15777.0, 'hotpatch.measure_time': 4524308.0}
[3819]: {'stabilizer.yaw': -0.00728658027946949, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 274.0, 'hotpatch.context_switches': 15869.0, 'hotpatch.measure_time': 4550468.0}
[3829]: {'stabilizer.yaw': -0.00826034415513277, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 275.0, 'hotpatch.context_switches': 15959.0, 'hotpatch.measure_time': 4576308.0}
[3839]: {'stabilizer.yaw': -0.007570505607873201, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 276.0, 'hotpatch.context_switches': 16051.0, 'hotpatch.measure_time': 4602722.0}
[3849]: {'stabilizer.yaw': 0.007119314279407263, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 277.0, 'hotpatch.context_switches': 16138.0, 'hotpatch.measure_time': 4627719.0}
