[3608]: {'stabilizer.yaw': -0.013387919403612614, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 254.0, 'hotpatch.context_switches': 13842.0, 'hotpatch.measure_time': 3983241.0}
[3618]: {'stabilizer.yaw': -0.014034816063940525, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 255.0, 'hotpatch.context_switches': 13933.0, 'hotpatch.measure_time': 4009584.0}
[3628]: {'stabilizer.yaw': -0.013938226737082005, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 256.0, 'hotpatch.context_switches': 14026.0, 'hotpatch.measure_time': 4036503.0}
[3638]: {'stabilizer.yaw': -0.014640365727245808, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 257.0, 'hotpatch.context_switches': 14119.0, 'hotpatch.measure_time': 4063442.0}
[3648]: {'stabilizer.yaw': -0.014072692953050137, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 258.0, 'hotpatch.context_switches': 14213.0, 'hotpatch.measure_time': 4090656.0}
[3658]: {'stabilizer.yaw': -0.014977425336837769, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 259.0, 'hotpatch.context_switches': 14305.0, 'hotpatch.measure_time': 4117294.0}
[3668]: {'stabilizer.yaw': -0.014298934489488602, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 260.0, 'hotpatch.context_switches': 14398.0, 'hotpatch.measure_time': 4144217.0}
[3678]: {'stabilizer.yaw': -0.014014007523655891, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 261.0, 'hotpatch.context_switches': 14489.0, 'hotpatch.measure_time': 4170504.0}
[3688]: {'stabilizer.yaw': -0.013163053430616856, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 262.0, 'hotpatch.context_switches': 14582.0, 'hotpatch.measure_time': 4197433.0}
[3698]: {'stabilizer.yaw': -0.014519336633384228, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 263.0, 'hotpatch.context_switches': 14673.0, 'hotpatch.measure_time': 4223787.0}
[3708]: {'stabilizer.yaw': -0.015515902079641819, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 264.0, 'hotpatch.context_switches': 14767.0, 'hotpatch.measure_time': 4251005.0}
[3718]: {'stabilizer.yaw': -0.015191324055194855, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 265.0, 'hotpatch.context_switches': 14858.0, 'hotpatch.measure_time': 4277318.0}
[3728]: {'stabilizer.yaw': -0.01485517155379057, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 266.0, 'hotpatch.context_switches': 14951.0, 'hotpatch.measure_time': 4304208.0}
[3738]: {'stabilizer.yaw': -0.014588644728064537, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 267.0, 'hotpatch.context_switches': 15044.0, 'hotpatch.measure_time': 4331080.0}
[3748]: {'stabilizer.yaw': -0.01384065207093954, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 268.0, 'hotpatch.context_switches': 15137.0, 'hotpatch.measure_time': 4357930.0}
[3758]: {'stabilizer.yaw': -0.014985195361077785, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 269.0, 'hotpatch.context_switches': 15228.0, 'hotpatch.measure_time': 4384221.0}
