[3515]: {'stabilizer.yaw': -0.0009199377382174134, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 243.0, 'hotpatch.context_switches': 13046.0, 'hotpatch.measure_time': 3334153.0}
[3525]: {'stabilizer.yaw': -0.0022911513224244118, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 244.0, 'hotpatch.context_switches': 13135.0, 'hotpatch.measure_time': 3356904.0}
[3535]: {'stabilizer.yaw': -0.0024377864319831133, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 245.0, 'hotpatch.context_switches': 13223.0, 'hotpatch.measure_time': 3379397.0}
[3545]: {'stabilizer.yaw': -0.0021875796373933554, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 246.0, 'hotpatch.context_switches': 13312.0, 'hotpatch.measure_time': 3402152.0}
[3555]: {'stabilizer.yaw': -0.00241683516651392, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 247.0, 'hotpatch.context_switches': 13399.0, 'hotpatch.measure_time': 3424384.0}
[3565]: {'stabilizer.yaw': 0.0012601700145751238, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 248.0, 'hotpatch.context_switches': 13486.0, 'hotpatch.measure_time': 3446618.0}
[3575]: {'stabilizer.yaw': 0.00015230973076540977, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 249.0, 'hotpatch.context_switches': 13575.0, 'hotpatch.measure_time': 3469363.0}
[3585]: {'stabilizer.yaw': -2.50655702984659e-05, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 250.0, 'hotpatch.context_switches': 13666.0, 'hotpatch.measure_time': 3492626.0}
[3595]: {'stabilizer.yaw': 0.00030998082365840673, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 251.0, 'hotpatch.context_switches': 13755.0, 'hotpatch.measure_time': 3515390.0}
[3605]: {'stabilizer.yaw': -0.00017653156828600913, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 252.0, 'hotpatch.context_switches': 13849.0, 'hotpatch.measure_time': 3539435.0}
[3615]: {'stabilizer.yaw': -0.0005738238687627017, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 253.0, 'hotpatch.context_switches': 13938.0, 'hotpatch.measure_time': 3562195.0}
[3625]: {'stabilizer.yaw': -0.0005122740403749049, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 254.0, 'hotpatch.context_switches': 14029.0, 'hotpatch.measure_time': 3585465.0}
[3635]: {'stabilizer.yaw': -0.00032751564867794514, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 255.0, 'hotpatch.context_switches': 14119.0, 'hotpatch.measure_time': 3608539.0}
