[3586]: {'stabilizer.yaw': -0.0019420625176280737, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 13311.0, 'hotpatch.measure_time': 2495466.0}
[3596]: {'stabilizer.yaw': -0.0024771015159785748, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 13401.0, 'hotpatch.measure_time': 2512294.0}
[3606]: {'stabilizer.yaw': -0.0016735694371163845, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 13496.0, 'hotpatch.measure_time': 2530200.0}
[3616]: {'stabilizer.yaw': -0.002006449503824115, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 13585.0, 'hotpatch.measure_time': 2546996.0}
[3626]: {'stabilizer.yaw': -0.0022700722329318523, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 13679.0, 'hotpatch.measure_time': 2564701.0}
[3636]: {'stabilizer.yaw': -0.0026708561927080154, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 13769.0, 'hotpatch.measure_time': 2581676.0}
[3646]: {'stabilizer.yaw': -0.0023707663640379906, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 13861.0, 'hotpatch.measure_time': 2598898.0}
[3656]: {'stabilizer.yaw': -0.003250004956498742, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 13951.0, 'hotpatch.measure_time': 2615879.0}
[3666]: {'stabilizer.yaw': -0.0038075007032603025, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 14043.0, 'hotpatch.measure_time': 2633243.0}
[3676]: {'stabilizer.yaw': -0.0030589427333325148, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 14133.0, 'hotpatch.measure_time': 2650223.0}
